kind,source,target
move_to_core,cli.py,sparkii_bootstrap
move_to_core,cli.py,sparkii_cli
move_to_core,cli.py,sparkii_constants
move_to_core,cli.py,sparkii_logging
move_to_core,cli.py,sparkii_state
move_to_core,cli.py,subprocess
move_to_core,cli.py,sys
move_to_core,cli.py,tempfile
move_to_core,cli.py,termios
move_to_core,cli.py,textwrap
move_to_core,cli.py,threading
move_to_core,cli.py,time
move_to_core,cli.py,tools
move_to_core,cli.py,toolsets
move_to_core,cli.py,tty
move_to_core,cli.py,typing
move_to_core,cli.py,urllib
move_to_core,cli.py,utils
move_to_core,cli.py,uuid
move_to_core,cli.py,yaml
move_to_core,gateway/agent_cache_pressure.py,__future__
move_to_core,gateway/agent_cache_pressure.py,core
move_to_core,gateway/agent_cache_pressure.py,dataclasses
move_to_core,gateway/agent_cache_pressure.py,os
move_to_core,gateway/agent_cache_pressure.py,pathlib
move_to_core,gateway/agent_cache_pressure.py,psutil
move_to_core,gateway/agent_cache_pressure.py,sys
move_to_core,gateway/agent_cache_pressure.py,typing
move_to_core,gateway/authz_mixin.py,__future__
move_to_core,gateway/authz_mixin.py,agent
move_to_core,gateway/authz_mixin.py,os
move_to_core,gateway/authz_mixin.py,typing
move_to_core,gateway/cgroup_cleanup.py,__future__
move_to_core,gateway/cgroup_cleanup.py,os
move_to_core,gateway/cgroup_cleanup.py,pathlib
move_to_core,gateway/cgroup_cleanup.py,re
move_to_core,gateway/cgroup_cleanup.py,signal
move_to_core,gateway/cgroup_cleanup.py,sys
move_to_core,gateway/channel_directory.py,asyncio
move_to_core,gateway/channel_directory.py,core
move_to_core,gateway/channel_directory.py,datetime
move_to_core,gateway/channel_directory.py,discord
move_to_core,gateway/channel_directory.py,json
move_to_core,gateway/channel_directory.py,logging
move_to_core,gateway/channel_directory.py,sparkii_state
move_to_core,gateway/channel_directory.py,time
move_to_core,gateway/channel_directory.py,typing
move_to_core,gateway/channel_directory.py,utils
move_to_core,gateway/code_skew.py,__future__
move_to_core,gateway/code_skew.py,pathlib
move_to_core,gateway/code_skew.py,sparkii_cli
move_to_core,gateway/config.py,agent
move_to_core,gateway/config.py,core
move_to_core,gateway/config.py,dataclasses
move_to_core,gateway/config.py,enum
move_to_core,gateway/config.py,json
move_to_core,gateway/config.py,logging
move_to_core,gateway/config.py,os
move_to_core,gateway/config.py,pathlib
move_to_core,gateway/config.py,sparkii_cli
move_to_core,gateway/config.py,typing
move_to_core,gateway/config.py,utils
move_to_core,gateway/config.py,yaml
move_to_core,gateway/cwd_placeholder.py,__future__
move_to_core,gateway/dead_targets.py,__future__
move_to_core,gateway/dead_targets.py,core
move_to_core,gateway/dead_targets.py,json
move_to_core,gateway/dead_targets.py,logging
move_to_core,gateway/dead_targets.py,pathlib
move_to_core,gateway/dead_targets.py,threading
move_to_core,gateway/dead_targets.py,time
move_to_core,gateway/dead_targets.py,typing
move_to_core,gateway/delivery.py,core
move_to_core,gateway/delivery.py,dataclasses
move_to_core,gateway/delivery.py,datetime
move_to_core,gateway/delivery.py,logging
move_to_core,gateway/delivery.py,os
move_to_core,gateway/delivery.py,pathlib
move_to_core,gateway/delivery.py,re
move_to_core,gateway/delivery.py,typing
move_to_core,gateway/delivery_ledger.py,__future__
move_to_core,gateway/delivery_ledger.py,contextlib
move_to_core,gateway/delivery_ledger.py,core
move_to_core,gateway/delivery_ledger.py,hashlib
move_to_core,gateway/delivery_ledger.py,json
move_to_core,gateway/delivery_ledger.py,logging
move_to_core,gateway/delivery_ledger.py,os
move_to_core,gateway/delivery_ledger.py,sparkii_constants
move_to_core,gateway/delivery_ledger.py,sparkii_state
move_to_core,gateway/delivery_ledger.py,sqlite3
move_to_core,gateway/delivery_ledger.py,threading
move_to_core,gateway/delivery_ledger.py,time
move_to_core,gateway/delivery_ledger.py,typing
move_to_core,gateway/disk_status.py,__future__
move_to_core,gateway/disk_status.py,logging
move_to_core,gateway/disk_status.py,pathlib
move_to_core,gateway/disk_status.py,shutil
move_to_core,gateway/disk_status.py,sparkii_constants
move_to_core,gateway/disk_status.py,typing
move_to_core,gateway/display_config.py,__future__
move_to_core,gateway/display_config.py,typing
move_to_core,gateway/drain_control.py,__future__
move_to_core,gateway/drain_control.py,datetime
move_to_core,gateway/drain_control.py,functools
move_to_core,gateway/drain_control.py,json
move_to_core,gateway/drain_control.py,logging
move_to_core,gateway/drain_control.py,pathlib
move_to_core,gateway/drain_control.py,sparkii_constants
move_to_core,gateway/drain_control.py,typing
move_to_core,gateway/drain_control.py,utils
move_to_core,gateway/hooks.py,asyncio
move_to_core,gateway/hooks.py,core
move_to_core,gateway/hooks.py,importlib
move_to_core,gateway/hooks.py,sys
move_to_core,gateway/hooks.py,typing
move_to_core,gateway/hooks.py,yaml
move_to_core,gateway/kanban_watchers.py,__future__
move_to_core,gateway/kanban_watchers.py,agent
move_to_core,gateway/kanban_watchers.py,asyncio
move_to_core,gateway/kanban_watchers.py,core
move_to_core,gateway/kanban_watchers.py,logging
move_to_core,gateway/kanban_watchers.py,os
move_to_core,gateway/kanban_watchers.py,pathlib
move_to_core,gateway/kanban_watchers.py,sparkii_cli
move_to_core,gateway/kanban_watchers.py,sqlite3
move_to_core,gateway/kanban_watchers.py,time
move_to_core,gateway/kanban_watchers.py,typing
move_to_core,gateway/kanban_watchers.py,urllib
move_to_core,gateway/lifecycle_ledger.py,__future__
move_to_core,gateway/lifecycle_ledger.py,datetime
move_to_core,gateway/lifecycle_ledger.py,json
move_to_core,gateway/lifecycle_ledger.py,logging
move_to_core,gateway/lifecycle_ledger.py,os
move_to_core,gateway/lifecycle_ledger.py,pathlib
move_to_core,gateway/lifecycle_ledger.py,sparkii_constants
move_to_core,gateway/lifecycle_ledger.py,time
move_to_core,gateway/lifecycle_ledger.py,typing
move_to_core,gateway/lifecycle_ledger.py,utils
move_to_core,gateway/media_policy.py,__future__
move_to_core,gateway/media_policy.py,core
move_to_core,gateway/media_policy.py,logging
move_to_core,gateway/media_policy.py,os
move_to_core,gateway/media_policy.py,typing
move_to_core,gateway/memory_monitor.py,__future__
move_to_core,gateway/memory_monitor.py,gc
move_to_core,gateway/memory_monitor.py,logging
move_to_core,gateway/memory_monitor.py,os
move_to_core,gateway/memory_monitor.py,psutil
move_to_core,gateway/memory_monitor.py,resource
move_to_core,gateway/memory_monitor.py,sys
move_to_core,gateway/memory_monitor.py,threading
move_to_core,gateway/memory_monitor.py,time
move_to_core,gateway/memory_monitor.py,typing
move_to_core,gateway/memory_status.py,__future__
move_to_core,gateway/memory_status.py,datetime
move_to_core,gateway/memory_status.py,logging
move_to_core,gateway/memory_status.py,pathlib
move_to_core,gateway/memory_status.py,typing
move_to_core,gateway/message_timestamps.py,__future__
move_to_core,gateway/message_timestamps.py,datetime
move_to_core,gateway/message_timestamps.py,re
move_to_core,gateway/message_timestamps.py,typing
move_to_core,gateway/mirror.py,core
move_to_core,gateway/mirror.py,datetime
move_to_core,gateway/mirror.py,json
move_to_core,gateway/mirror.py,logging
move_to_core,gateway/mirror.py,sparkii_state
move_to_core,gateway/mirror.py,typing
move_to_core,gateway/pairing.py,agent
move_to_core,gateway/pairing.py,core
move_to_core,gateway/pairing.py,hashlib
move_to_core,gateway/pairing.py,json
move_to_core,gateway/pairing.py,logging
move_to_core,gateway/pairing.py,os
move_to_core,gateway/pairing.py,pathlib
move_to_core,gateway/pairing.py,secrets
move_to_core,gateway/pairing.py,sparkii_constants
move_to_core,gateway/pairing.py,tempfile
move_to_core,gateway/pairing.py,threading
move_to_core,gateway/pairing.py,time
move_to_core,gateway/pairing.py,typing
move_to_core,gateway/pairing.py,utils
move_to_core,gateway/platform_registry.py,core
move_to_core,gateway/platform_registry.py,logging
move_to_core,gateway/platform_registry.py,sparkii_cli
move_to_core,gateway/platform_registry.py,sparkii_constants
move_to_core,gateway/platform_registry.py,sys
move_to_core,gateway/platform_registry.py,threading
move_to_core,gateway/platform_registry.py,tools
move_to_core,gateway/platform_registry.py,typing
move_to_core,gateway/platforms/_http_client_limits.py,__future__
move_to_core,gateway/platforms/_http_client_limits.py,httpx
move_to_core,gateway/platforms/_http_client_limits.py,os
move_to_core,gateway/platforms/api_server.py,agent
move_to_core,gateway/platforms/api_server.py,aiohttp
move_to_core,gateway/platforms/api_server.py,asyncio
move_to_core,gateway/platforms/api_server.py,base64
move_to_core,gateway/platforms/api_server.py,collections
move_to_core,gateway/platforms/api_server.py,contextlib
move_to_core,gateway/platforms/api_server.py,contextvars
move_to_core,gateway/platforms/api_server.py,core
move_to_core,gateway/platforms/api_server.py,cron
move_to_core,gateway/platforms/api_server.py,errno
move_to_core,gateway/platforms/api_server.py,functools
move_to_core,gateway/platforms/api_server.py,hashlib
move_to_core,gateway/platforms/api_server.py,hmac
move_to_core,gateway/platforms/api_server.py,importlib
move_to_core,gateway/platforms/api_server.py,itertools
move_to_core,gateway/platforms/api_server.py,json
move_to_core,gateway/platforms/api_server.py,logging
move_to_core,gateway/platforms/api_server.py,os
move_to_core,gateway/platforms/api_server.py,pathlib
move_to_core,gateway/platforms/api_server.py,plugins
move_to_core,gateway/platforms/api_server.py,re
move_to_core,gateway/platforms/api_server.py,run_agent
move_to_core,gateway/platforms/api_server.py,sparkii_cli
move_to_core,gateway/platforms/api_server.py,sparkii_constants
move_to_core,gateway/platforms/api_server.py,sparkii_state
move_to_core,gateway/platforms/api_server.py,sqlite3
move_to_core,gateway/platforms/api_server.py,sys
move_to_core,gateway/platforms/api_server.py,threading
move_to_core,gateway/platforms/api_server.py,time
move_to_core,gateway/platforms/api_server.py,tools
move_to_core,gateway/platforms/api_server.py,toolsets
move_to_core,gateway/platforms/api_server.py,traceback
move_to_core,gateway/platforms/api_server.py,typing
move_to_core,gateway/platforms/api_server.py,uuid
move_to_core,gateway/platforms/base.py,abc
move_to_core,gateway/platforms/base.py,aiohttp_socks
move_to_core,gateway/platforms/base.py,asyncio
move_to_core,gateway/platforms/base.py,core
move_to_core,gateway/platforms/base.py,dataclasses
move_to_core,gateway/platforms/base.py,datetime
move_to_core,gateway/platforms/base.py,enum
move_to_core,gateway/platforms/base.py,httpx
move_to_core,gateway/platforms/base.py,inspect
move_to_core,gateway/platforms/base.py,ipaddress
move_to_core,gateway/platforms/base.py,json
move_to_core,gateway/platforms/base.py,logging
move_to_core,gateway/platforms/base.py,os
move_to_core,gateway/platforms/base.py,pathlib
move_to_core,gateway/platforms/base.py,random
move_to_core,gateway/platforms/base.py,re
move_to_core,gateway/platforms/base.py,socket
move_to_core,gateway/platforms/base.py,sparkii_cli
move_to_core,gateway/platforms/base.py,sparkii_constants
move_to_core,gateway/platforms/base.py,subprocess
move_to_core,gateway/platforms/base.py,sys
move_to_core,gateway/platforms/base.py,tempfile
move_to_core,gateway/platforms/base.py,threading
move_to_core,gateway/platforms/base.py,time
move_to_core,gateway/platforms/base.py,tools
move_to_core,gateway/platforms/base.py,typing
move_to_core,gateway/platforms/base.py,urllib
move_to_core,gateway/platforms/base.py,utils
move_to_core,gateway/platforms/base.py,uuid
move_to_core,gateway/platforms/base.py,weakref
move_to_core,gateway/platforms/helpers.py,agent
move_to_core,gateway/platforms/helpers.py,asyncio
move_to_core,gateway/platforms/helpers.py,json
move_to_core,gateway/platforms/helpers.py,logging
move_to_core,gateway/platforms/helpers.py,pathlib
move_to_core,gateway/platforms/helpers.py,re
move_to_core,gateway/platforms/helpers.py,sparkii_constants
