path,stratum,confidence,reason,imports_surface
agent/onboarding.py,S6,HIGH,product/consumer surface (onboarding),
agent/oneshot.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/plugin_llm.py,S4,HIGH,extension infrastructure (plugin),
agent/plugin_stream_hooks.py,S4,HIGH,extension infrastructure (plugin),
agent/process_bootstrap.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/prompt_builder.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/prompt_cache_boundary.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/prompt_cache_scope.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/prompt_caching.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/proxy_sources/__init__.py,S3,HIGH,network proxy sources (core),
agent/proxy_sources/iron_proxy.py,S3,HIGH,network proxy sources (core),
agent/rate_limit_tracker.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/reactions.py,S5,HIGH,edge capability (reaction),
agent/reasoning_summaries.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/reasoning_timeouts.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/redact.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/relay_llm.py,S5,HIGH,edge capability (relay_),
agent/relay_runtime.py,S5,HIGH,edge capability (relay_),
agent/relay_tools.py,S5,HIGH,edge capability (relay_),
agent/repetition_guard.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/replay_cleanup.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/retry_utils.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/runtime_cwd.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/secret_scope.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/secret_sources/__init__.py,S3,HIGH,secret/credential sources (core),
agent/secret_sources/_cache.py,S3,HIGH,secret/credential sources (core),
agent/secret_sources/base.py,S3,HIGH,secret/credential sources (core),
agent/secret_sources/bitwarden.py,S3,HIGH,secret/credential sources (core),
agent/secret_sources/command.py,S3,HIGH,secret/credential sources (core),
agent/secret_sources/onepassword.py,S3,HIGH,secret/credential sources (core),
agent/secret_sources/registry.py,S3,HIGH,secret/credential sources (core),
agent/session_activity.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/shell_hooks.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/skill_bundles.py,S4,HIGH,extension infrastructure (skill),
agent/skill_commands.py,S4,HIGH,extension infrastructure (skill),
agent/skill_preprocessing.py,S4,HIGH,extension infrastructure (skill),
agent/skill_utils.py,S4,HIGH,extension infrastructure (skill),
agent/ssl_guard.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/ssl_verify.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/stream_diag.py,S6,HIGH,product/consumer surface (stream_diag),
agent/stream_single_writer.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/subagent_lifecycle.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/subdirectory_hints.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/system_prompt.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/think_scrubber.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/thinking_timeout_guidance.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/thread_scoped_output.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/title_generator.py,S6,HIGH,product/consumer surface (title_generator),
agent/tool_dispatch_helpers.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/tool_executor.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/tool_guardrails.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/tool_result_classification.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/trace_upload.py,S6,HIGH,product/consumer surface (trace_upload),
